Role,Tugas
Digital Marketing Manager,Merancang dan mengimplementasikan strategi pemasaran digital untuk meningkatkan brand awareness
Digital Marketing Manager,Mengelola kampanye iklan berbayar di platform Google Ads dan Meta Ads dengan ROI optimal
Digital Marketing Manager,Menganalisis data performa kampanye menggunakan Google Analytics dan menyusun laporan bulanan
Digital Marketing Manager,Mengelola tim content creator dan social media specialist untuk produksi konten berkualitas
Digital Marketing Manager,Mengoptimalkan SEO website perusahaan untuk meningkatkan organic traffic
HR Manager,Merancang dan melaksanakan proses rekrutmen end-to-end untuk memenuhi kebutuhan talent perusahaan
HR Manager,Mengembangkan program pelatihan dan pengembangan karyawan sesuai kebutuhan bisnis
HR Manager,Mengelola sistem performance appraisal dan memberikan feedback konstruktif kepada karyawan
HR Manager,Memastikan kepatuhan terhadap regulasi ketenagakerjaan dan kebijakan internal perusahaan
HR Manager,Menangani employee relations dan menyelesaikan konflik di tempat kerja secara profesional
Financial Controller,Menyusun laporan keuangan bulanan dan tahunan sesuai standar akuntansi yang berlaku
Financial Controller,Melakukan analisis variance budget vs actual dan memberikan rekomendasi perbaikan
Financial Controller,Mengelola proses audit internal dan eksternal serta memastikan compliance terhadap regulasi
Financial Controller,Mengawasi cash flow perusahaan dan melakukan proyeksi keuangan jangka pendek dan menengah
Financial Controller,Mengimplementasikan sistem kontrol internal untuk meminimalkan risiko fraud dan kesalahan finansial
